cancer_type,normalization,batch_num,status,start_time,end_time,duration_seconds,error_message
LAML,raw,4,success,2026-01-21T18:53:18.625559,2026-01-21T18:53:22.014986,3.389427,
LAML,raw,5,success,2026-01-21T18:53:22.015831,2026-01-21T18:53:25.410353,3.394522,
LAML,raw,6,success,2026-01-21T18:53:25.411123,2026-01-21T18:53:28.775447,3.364324,
LAML,raw,7,success,2026-01-21T18:53:28.776250,2026-01-21T18:53:32.709261,3.933011,
LAML,raw,8,success,2026-01-21T18:53:32.710161,2026-01-21T18:53:36.614485,3.904324,
LAML,raw,9,success,2026-01-21T18:53:36.615319,2026-01-21T18:53:41.113657,4.498338,
LAML,raw,10,success,2026-01-21T18:53:41.114527,2026-01-21T18:53:45.100075,3.985548,
LAML,raw,11,success,2026-01-21T18:53:45.100920,2026-01-21T18:53:49.026097,3.925177,
LAML,raw,12,success,2026-01-21T18:53:49.027057,2026-01-21T18:53:53.934830,4.907773,
LAML,raw,13,success,2026-01-21T18:53:53.936025,2026-01-21T18:53:58.375051,4.439026,
LAML,raw,14,success,2026-01-21T18:53:58.376080,2026-01-21T18:54:03.009841,4.633761,
LAML,raw,15,success,2026-01-21T18:54:03.010917,2026-01-21T18:54:07.210653,4.199736,
LAML,raw,16,success,2026-01-21T18:54:07.211548,2026-01-21T18:54:10.920955,3.709407,
LAML,raw,17,success,2026-01-21T18:54:10.921757,2026-01-21T18:54:14.730915,3.809158,
LAML,raw,18,success,2026-01-21T18:54:14.731884,2026-01-21T18:54:18.431308,3.699424,
LAML,raw,19,success,2026-01-21T18:54:18.432156,2026-01-21T18:54:22.173457,3.741301,
LAML,raw,20,success,2026-01-21T18:54:22.174346,2026-01-21T18:54:25.723167,3.548821,
LAML,TC,1,success,2026-01-21T18:54:25.723999,2026-01-21T18:54:29.392377,3.668378,
LAML,TC,2,success,2026-01-21T18:54:29.393206,2026-01-21T18:54:33.049402,3.656196,
LAML,TC,3,success,2026-01-21T18:54:33.050262,2026-01-21T18:54:36.771144,3.720882,
LAML,TC,4,success,2026-01-21T18:54:36.772002,2026-01-21T18:54:40.559379,3.787377,
LAML,TC,5,success,2026-01-21T18:54:40.560231,2026-01-21T18:54:44.172122,3.611891,
LAML,TC,6,success,2026-01-21T18:54:44.172973,2026-01-21T18:54:47.744064,3.571091,
LAML,TC,7,success,2026-01-21T18:54:47.744868,2026-01-21T18:54:51.442030,3.697162,
LAML,TC,8,success,2026-01-21T18:54:51.442885,2026-01-21T18:54:55.096824,3.653939,
LAML,TC,9,success,2026-01-21T18:54:55.097672,2026-01-21T18:54:58.733661,3.635989,
LAML,TC,10,success,2026-01-21T18:54:58.734481,2026-01-21T18:55:02.297761,3.56328,
LAML,TC,11,success,2026-01-21T18:55:02.298601,2026-01-21T18:55:05.970219,3.671618,
LAML,TC,12,success,2026-01-21T18:55:05.971069,2026-01-21T18:55:09.547822,3.576753,
LAML,TC,13,success,2026-01-21T18:55:09.548639,2026-01-21T18:55:13.144471,3.595832,
LAML,TC,14,success,2026-01-21T18:55:13.145316,2026-01-21T18:55:16.739737,3.594421,
LAML,TC,15,success,2026-01-21T18:55:16.740568,2026-01-21T18:55:20.392334,3.651766,
LAML,TC,16,success,2026-01-21T18:55:20.393198,2026-01-21T18:55:24.016480,3.623282,
LAML,TC,17,success,2026-01-21T18:55:24.017352,2026-01-21T18:55:27.642600,3.625248,
LAML,TC,18,success,2026-01-21T18:55:27.643401,2026-01-21T18:55:31.194956,3.551555,
LAML,TC,19,success,2026-01-21T18:55:31.195761,2026-01-21T18:55:34.882638,3.686877,
LAML,TC,20,success,2026-01-21T18:55:34.883478,2026-01-21T18:55:38.552582,3.669104,
LAML,DESeq,1,success,2026-01-21T18:55:38.553389,2026-01-21T18:55:42.172874,3.619485,
LAML,DESeq,2,success,2026-01-21T18:55:42.173654,2026-01-21T18:55:45.771292,3.597638,
LAML,DESeq,3,success,2026-01-21T18:55:45.772081,2026-01-21T18:55:49.402218,3.630137,
LAML,DESeq,4,success,2026-01-21T18:55:49.402994,2026-01-21T18:55:53.031060,3.628066,
LAML,DESeq,5,success,2026-01-21T18:55:53.031903,2026-01-21T18:55:56.667616,3.635713,
LAML,DESeq,6,success,2026-01-21T18:55:56.668495,2026-01-21T18:56:00.236152,3.567657,
LAML,DESeq,7,success,2026-01-21T18:56:00.237015,2026-01-21T18:56:03.910922,3.673907,
LAML,DESeq,8,success,2026-01-21T18:56:03.911711,2026-01-21T18:56:07.506802,3.595091,
LAML,DESeq,9,success,2026-01-21T18:56:07.507673,2026-01-21T18:56:11.154189,3.646516,
LAML,DESeq,10,success,2026-01-21T18:56:11.154971,2026-01-21T18:56:14.730835,3.575864,
LAML,DESeq,11,success,2026-01-21T18:56:14.731663,2026-01-21T18:56:18.336613,3.60495,
LAML,DESeq,12,success,2026-01-21T18:56:18.337426,2026-01-21T18:56:22.009073,3.671647,
LAML,DESeq,13,success,2026-01-21T18:56:22.009935,2026-01-21T18:56:25.615253,3.605318,
LAML,DESeq,14,success,2026-01-21T18:56:25.616063,2026-01-21T18:56:29.203430,3.587367,
LAML,DESeq,15,success,2026-01-21T18:56:29.204309,2026-01-21T18:56:32.828853,3.624544,
LAML,DESeq,16,success,2026-01-21T18:56:32.829719,2026-01-21T18:56:36.534691,3.704972,
LAML,DESeq,17,success,2026-01-21T18:56:36.535576,2026-01-21T18:56:40.183317,3.647741,
LAML,DESeq,18,success,2026-01-21T18:56:40.184292,2026-01-21T18:56:43.757964,3.573672,
LAML,DESeq,19,success,2026-01-21T18:56:43.758838,2026-01-21T18:56:47.568508,3.80967,
LAML,DESeq,20,success,2026-01-21T18:56:47.569415,2026-01-21T18:56:51.431437,3.862022,
PAAD,raw,1,success,2026-01-21T18:56:51.432308,2026-01-21T18:56:55.224828,3.79252,
PAAD,raw,2,success,2026-01-21T18:56:55.225697,2026-01-21T18:56:59.043897,3.8182,
PAAD,raw,3,success,2026-01-21T18:56:59.044833,2026-01-21T18:57:01.670871,2.626038,
PAAD,raw,4,success,2026-01-21T18:57:01.671742,2026-01-21T18:57:05.537542,3.8658,
PAAD,raw,5,success,2026-01-21T18:57:05.538465,2026-01-21T18:57:09.231406,3.692941,
PAAD,raw,6,success,2026-01-21T18:57:09.232298,2026-01-21T18:57:13.052237,3.819939,
PAAD,raw,7,success,2026-01-21T18:57:13.053121,2026-01-21T18:57:16.902866,3.849745,
PAAD,raw,8,success,2026-01-21T18:57:16.903812,2026-01-21T18:57:20.709531,3.805719,
PAAD,raw,9,success,2026-01-21T18:57:20.710408,2026-01-21T18:57:24.685330,3.974922,
PAAD,raw,10,success,2026-01-21T18:57:24.686243,2026-01-21T18:57:28.444879,3.758636,
PAAD,raw,11,success,2026-01-21T18:57:28.445741,2026-01-21T18:57:32.312555,3.866814,
PAAD,raw,12,success,2026-01-21T18:57:32.313431,2026-01-21T18:57:36.113558,3.800127,
PAAD,raw,13,success,2026-01-21T18:57:36.114440,2026-01-21T18:57:39.192569,3.078129,
PAAD,raw,14,success,2026-01-21T18:57:39.193458,2026-01-21T18:57:43.000634,3.807176,
PAAD,raw,15,success,2026-01-21T18:57:43.001497,2026-01-21T18:57:46.842798,3.841301,
